,Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,artist_name
988,988,0.687,0.517,8,-9.109,0,0.0705,0.544,0.00596,0.0992,0.862,93.071,audio_features,54N8YQb53fKmVCNmbwoSVi,spotify:track:54N8YQb53fKmVCNmbwoSVi,https://api.spotify.com/v1/tracks/54N8YQb53fKmVCNmbwoSVi,https://api.spotify.com/v1/audio-analysis/54N8YQb53fKmVCNmbwoSVi,219949,4,R&B,F o r C e r t a i n,PARTYNEXTDOOR
989,989,0.531,0.581,8,-6.429,0,0.226,0.312,0.0,0.111,0.697,86.219,audio_features,4nncvBrXyuKNg5jfBnJ1dR,spotify:track:4nncvBrXyuKNg5jfBnJ1dR,https://api.spotify.com/v1/tracks/4nncvBrXyuKNg5jfBnJ1dR,https://api.spotify.com/v1/audio-analysis/4nncvBrXyuKNg5jfBnJ1dR,192089,5,R&B,1:59 (feat. Gunna),Normani
990,990,0.43,0.72,5,-5.048,1,0.0532,0.00176,2.56e-06,0.295,0.467,106.595,audio_features,0oMlowcYGs70fDAfRf8eKJ,spotify:track:0oMlowcYGs70fDAfRf8eKJ,https://api.spotify.com/v1/tracks/0oMlowcYGs70fDAfRf8eKJ,https://api.spotify.com/v1/audio-analysis/0oMlowcYGs70fDAfRf8eKJ,125039,3,R&B,Ciao!,Bryson Tiller
991,991,0.71,0.714,10,-3.287,0,0.131,0.0346,9.69e-06,0.238,0.647,99.833,audio_features,6XpEm7VJ7TZxZTawH8BCSW,spotify:track:6XpEm7VJ7TZxZTawH8BCSW,https://api.spotify.com/v1/tracks/6XpEm7VJ7TZxZTawH8BCSW,https://api.spotify.com/v1/audio-analysis/6XpEm7VJ7TZxZTawH8BCSW,147071,4,R&B,Jump,Tyla
992,992,0.838,0.537,11,-10.28,1,0.119,0.156,0.446,0.107,0.56,103.95,audio_features,47hsUYxvbTlBAN3sP9dEOd,spotify:track:47hsUYxvbTlBAN3sP9dEOd,https://api.spotify.com/v1/tracks/47hsUYxvbTlBAN3sP9dEOd,https://api.spotify.com/v1/audio-analysis/47hsUYxvbTlBAN3sP9dEOd,178042,4,R&B,Love Me JeJe,Tems
993,993,0.724,0.794,1,-3.931,1,0.0421,0.0736,0.00113,0.11,0.735,121.009,audio_features,2x03XLsTZ0o86h0cfHrkKF,spotify:track:2x03XLsTZ0o86h0cfHrkKF,https://api.spotify.com/v1/tracks/2x03XLsTZ0o86h0cfHrkKF,https://api.spotify.com/v1/audio-analysis/2x03XLsTZ0o86h0cfHrkKF,202414,4,R&B,After Hours,Kehlani
994,994,0.751,0.648,6,-4.21,1,0.183,0.083,0.0,0.585,0.813,126.032,audio_features,5mUlozUYpdmXVPkj4BW8cA,spotify:track:5mUlozUYpdmXVPkj4BW8cA,https://api.spotify.com/v1/tracks/5mUlozUYpdmXVPkj4BW8cA,https://api.spotify.com/v1/audio-analysis/5mUlozUYpdmXVPkj4BW8cA,250725,4,R&B,TYRANT,Beyoncé
995,995,0.931,0.411,8,-8.433,1,0.0711,0.165,5.26e-06,0.134,0.515,100.002,audio_features,6NjWCIYu1W8xa3HIvcIhd4,spotify:track:6NjWCIYu1W8xa3HIvcIhd4,https://api.spotify.com/v1/tracks/6NjWCIYu1W8xa3HIvcIhd4,https://api.spotify.com/v1/audio-analysis/6NjWCIYu1W8xa3HIvcIhd4,176027,4,R&B,Nasty,Tinashe
996,996,0.788,0.528,11,-6.688,1,0.0729,0.279,0.00257,0.103,0.464,107.941,audio_features,3OgdnA3LYpJ6vxrfk6X3p4,spotify:track:3OgdnA3LYpJ6vxrfk6X3p4,https://api.spotify.com/v1/tracks/3OgdnA3LYpJ6vxrfk6X3p4,https://api.spotify.com/v1/audio-analysis/3OgdnA3LYpJ6vxrfk6X3p4,173913,4,R&B,Alright,Victoria Monét
997,997,0.739,0.686,7,-6.317,0,0.0479,0.244,0.00145,0.0963,0.743,95.0,audio_features,64fITmtln0OJqcxPf09vnY,spotify:track:64fITmtln0OJqcxPf09vnY,https://api.spotify.com/v1/tracks/64fITmtln0OJqcxPf09vnY,https://api.spotify.com/v1/audio-analysis/64fITmtln0OJqcxPf09vnY,227368,4,R&B,HERicane,Lucky Daye
